trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,ATHERENERG,"circuit,gainer_loser",circuit,3.49,754.3,780.6,,"{""status"": ""H""}"
2026-03-20,ATLANTAELE,"circuit,gainer_loser",circuit,10.0,1072.0,1179.2,,"{""status"": ""H""}"
2026-03-20,CCL,"circuit,gainer_loser",circuit,5.15,1034.3,1087.6,,"{""status"": ""H""}"
2026-03-20,CENTUM,"circuit,gainer_loser",circuit,9.61,2725.8,2987.8,,"{""status"": ""H""}"
2026-03-20,LENSKART,"circuit,gainer_loser",circuit,4.9,501.6,526.2,,"{""status"": ""H""}"
2026-03-20,PRABHA,"circuit,gainer_loser",circuit,2.86,153.03,157.4,,"{""status"": ""L""}"
2026-03-20,SHIVAUM,"circuit,gainer_loser",circuit,8.82,333.25,362.65,,"{""status"": ""H""}"
2026-03-20,AFFORDABLE,"circuit,gainer_loser",circuit,-3.2,146.79,142.09,,"{""status"": ""L""}"
2026-03-20,APTUS,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,BTML,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,CHEMCON,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,DIGIDRIVE,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,DIGITIDE,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,ECOSMOBLTY,"circuit,gainer_loser",circuit,-3.32,115.7,111.86,,"{""status"": ""L""}"
2026-03-20,EPACKPEB,"circuit,gainer_loser",circuit,-2.2,152.02,148.67,,"{""status"": ""L""}"
2026-03-20,ESAFSFB,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,FAIRCHEMOR,"circuit,gainer_loser",circuit,-4.24,515.15,493.3,,"{""status"": ""L""}"
2026-03-20,FINKURVE,"circuit,gainer_loser",circuit,-15.61,65.6,55.36,,"{""status"": ""L""}"
2026-03-20,GRINFRA,"circuit,gainer_loser",circuit,-3.57,891.5,859.7,,"{""status"": ""L""}"
2026-03-20,GATEWAY,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,GLOSTERLTD,"circuit,gainer_loser",circuit,-2.82,529.65,514.7,,"{""status"": ""L""}"
2026-03-20,GSS,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,IKIO,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,INDIGOPNTS,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,RETAIL,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,RUSTOMJEE,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,LATENTVIEW,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,MVGJL,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,MAZDA,"circuit,gainer_loser",circuit,-2.87,176.37,171.31,,"{""status"": ""L""}"
2026-03-20,MEDICAMEQ,"circuit,gainer_loser",circuit,-3.15,261.85,253.6,,"{""status"": ""L""}"
2026-03-20,METROPOLIS,circuit,circuit,,,,,"{""status"": ""L""}"
2026-03-20,NAVKARURB,"circuit,gainer_loser",circuit,-2.25,0.89,0.87,,"{""status"": ""L""}"
