trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,ATHERENERG,"circuit,gainer_loser",circuit,3.49,       754.30,780.6,,"{""status"": ""H""}",ATHER ENERGY LIMITED,N,       769.00,       795.90,       755.90,       780.60,               3321455934.20,4290744,79646,N, ,       795.90,       288.15,pd20032026.csv,True,ATHERENERG
2026-03-20,ATLANTAELE,"circuit,gainer_loser",circuit,10.0,      1072.00,1179.2,,"{""status"": ""H""}",ATLANTA ELECTRICALS LTD,N,      1089.00,      1179.20,      1087.15,      1179.20,                546002135.25,470551,20920,N, ,      1179.20,       707.60,pd20032026.csv,True,ATLANTAELE
2026-03-20,CCL,"circuit,gainer_loser",circuit,5.15,      1034.30,1087.6,,"{""status"": ""H""}",CCL PRODUCTS (I) LTD,N,      1049.30,      1105.00,      1044.90,      1087.60,                986535828.00,912155,61056,N, ,      1105.00,       525.00,pd20032026.csv,True,CCL
2026-03-20,CENTUM,"circuit,gainer_loser",circuit,9.61,      2725.80,2987.8,,"{""status"": ""H""}",CENTUM ELECTRONICS LTD,N,      2844.30,      3066.60,      2787.50,      2987.80,               1088588415.70,362983,40795,N, ,      3066.60,      1275.00,pd20032026.csv,True,CENTUM
2026-03-20,LENSKART,"circuit,gainer_loser",circuit,4.9,       501.60,526.2,,"{""status"": ""H""}",LENSKART SOLUTIONS LTD,N,       502.30,       543.90,       496.00,       526.20,               1985935823.30,3817550,77485,N, ,       543.90,       356.10,pd20032026.csv,True,LENSKART
2026-03-20,PRABHA,"circuit,gainer_loser",circuit,2.86,       153.03,157.4,,"{""status"": ""L""}",PRABHA ENERGY LIMITED,N,       152.00,       159.13,       152.00,       157.40,                 14469212.05,92855,1369,N, ,       315.90,       146.10,pd20032026.csv,True,PRABHA
2026-03-20,SHIVAUM,"circuit,gainer_loser",circuit,8.82,       333.25,362.65,,"{""status"": ""H""}",SHIV AUM STEELS LIMITED,N,       336.00,       366.55,       301.70,       362.65,                  1405419.95,3905,167,N, ,       366.55,       260.00,pd20032026.csv,True,SHIVAUM
2026-03-20,AFFORDABLE,"circuit,gainer_loser",circuit,-3.2,       146.79,142.09,,"{""status"": ""L""}",AFFORD ROBO & AUTO LTD,N,       149.70,       153.92,       141.00,       142.09,                  6547261.46,45016,1966,N, ,       534.40,       141.00,pd20032026.csv,True,AFFORDABLE
2026-03-20,APTUS,circuit,circuit,,       209.84,,,"{""status"": ""L""}",APTUS VALUE HSG FIN I LTD,N,       212.90,       212.95,       208.25,       208.83,                363853611.08,1727841,23264,N, ,       364.00,       208.25,pd20032026.csv,True,APTUS
2026-03-20,BTML,circuit,circuit,,         6.60,,,"{""status"": ""L""}",BODHI TREE MULTIMEDIA LTD,N,         6.60,         6.78,         6.35,         6.47,                 10341565.24,1564800,1061,N, ,        10.50,         6.35,pd20032026.csv,True,BTML
2026-03-20,CHEMCON,circuit,circuit,,       147.22,,,"{""status"": ""L""}",CHEMCON SPECIAL CHEM LTD,N,       148.00,       151.96,       145.95,       146.56,                  8290896.61,55989,1979,N, ,       295.00,       145.95,pd20032026.csv,True,CHEMCON
2026-03-20,DIGIDRIVE,circuit,circuit,,        20.34,,,"{""status"": ""L""}",DIGIDRIVE DISTRIBUTORS L,N,        20.90,        20.90,        19.67,        20.08,                  1084256.23,53790,295,N, ,        36.85,        19.67,pd20032026.csv,True,DIGIDRIVE
2026-03-20,DIGITIDE,circuit,circuit,,        73.90,,,"{""status"": ""L""}",DIGITIDE SOLUTIONS LTD,N,        75.01,        75.20,        72.05,        72.86,                 48928859.46,664048,6230,N, ,       279.69,        72.05,pd20032026.csv,True,DIGITIDE
2026-03-20,ECOSMOBLTY,"circuit,gainer_loser",circuit,-3.32,       115.70,111.86,,"{""status"": ""L""}",ECOS (INDIA) MOB & HOSP L,N,       116.89,       117.62,       109.99,       111.86,                 64920626.60,567574,13297,N, ,       358.40,       109.99,pd20032026.csv,True,ECOSMOBLTY
2026-03-20,EPACKPEB,"circuit,gainer_loser",circuit,-2.2,       152.02,148.67,,"{""status"": ""L""}",EPACK PREFAB TECHN LTD,N,       152.25,       156.52,       147.00,       148.67,                109146306.05,722832,6618,N, ,       344.00,       147.00,pd20032026.csv,True,EPACKPEB
2026-03-20,ESAFSFB,circuit,circuit,,        23.27,,,"{""status"": ""L""}",ESAF SMALL FINANCE BANK L,N,        23.30,        23.85,        23.00,        23.06,                 13794631.36,595448,2395,N, ,        36.20,        23.00,pd20032026.csv,True,ESAFSFB
2026-03-20,FAIRCHEMOR,"circuit,gainer_loser",circuit,-4.24,       515.15,493.3,,"{""status"": ""L""}",FAIRCHEM ORGANICS LIMITED,N,       509.00,       535.05,       488.10,       493.30,                 16398873.70,32200,1667,N, ,      1102.70,       488.10,pd20032026.csv,True,FAIRCHEMOR
2026-03-20,FINKURVE,"circuit,gainer_loser",circuit,-15.61,        65.60,55.36,,"{""status"": ""L""}",FINKURVE FINANCIAL SERV L,N,        72.00,        75.00,        53.25,        55.36,                101911053.95,1587499,14132,N, ,       134.90,        53.25,pd20032026.csv,True,FINKURVE
2026-03-20,GRINFRA,"circuit,gainer_loser",circuit,-3.57,       891.50,859.7,,"{""status"": ""L""}",G R INFRAPROJECTS LIMITED,N,       892.05,       900.40,       852.30,       859.70,                123399685.25,141150,12453,N, ,      1444.40,       852.30,pd20032026.csv,True,GRINFRA
2026-03-20,GATEWAY,circuit,circuit,,        51.70,,,"{""status"": ""L""}",GATEWAY DISTRIPARKS LTD,N,        51.92,        52.70,        50.80,        51.07,                 56844925.98,1102744,6272,N, ,        76.50,        50.80,pd20032026.csv,True,GATEWAY
2026-03-20,GLOSTERLTD,"circuit,gainer_loser",circuit,-2.82,       529.65,514.7,,"{""status"": ""L""}",GLOSTER LIMITED,N,       529.60,       535.00,       510.00,       514.70,                   997406.15,1897,74,N, ,       830.00,       510.00,pd20032026.csv,True,GLOSTERLTD
